RegionId,Region,Country
1,Middle East and North Africa,Azerbaijan
2,Central America and the Caribbean,Panama
3,Sub-Saharan Africa,Sao Tome and Principe
4,Central America and the Caribbean,Belize
5,Europe,Denmark
6,Europe,Germany
7,Middle East and North Africa,Turkey
8,Europe,United Kingdom
9,Asia,Kazakhstan
10,Central America and the Caribbean,Haiti
11,Europe,Italy
12,Europe,Malta
13,Middle East and North Africa,Jordan
14,Asia,Cambodia
15,Central America and the Caribbean,Saint Kitts and Nevis 
16,Sub-Saharan Africa,Cameroon
17,Middle East and North Africa,Bahrain
18,Australia and Oceania,Solomon Islands
19,Europe,Monaco
20,Sub-Saharan Africa,Comoros
21,Europe,Iceland
22,Sub-Saharan Africa,Zambia
23,Middle East and North Africa,Egypt
24,Sub-Saharan Africa,Togo
25,Middle East and North Africa,Saudi Arabia
26,Middle East and North Africa,Morocco
27,Middle East and North Africa,Tunisia 
28,Sub-Saharan Africa,Angola
29,Asia,Vietnam
30,Europe,Belarus
31,Asia,Myanmar
32,Europe,Lithuania
33,Europe,Switzerland
34,Central America and the Caribbean,Antigua and Barbuda 
35,Asia,Mongolia
36,North America,Greenland
37,Sub-Saharan Africa,Eritrea
38,Central America and the Caribbean,Saint Vincent and the Grenadines
39,Europe,Portugal
40,Middle East and North Africa,Somalia
41,Middle East and North Africa,Israel
42,Central America and the Caribbean,Dominica
43,Europe,Luxembourg
44,Asia,Singapore
45,Europe,Cyprus
46,Sub-Saharan Africa,Botswana
47,Sub-Saharan Africa,Malawi
48,Asia,Kyrgyzstan
49,Europe,Macedonia
50,Sub-Saharan Africa,Rwanda
51,Sub-Saharan Africa,Cape Verde
52,Middle East and North Africa,Pakistan
53,Middle East and North Africa,Libya
54,Asia,Bangladesh
55,Sub-Saharan Africa,Benin
56,Sub-Saharan Africa,Burundi
57,Asia,China
58,Europe,Albania
59,Europe,Bulgaria
60,Sub-Saharan Africa,Central African Republic
61,Europe,Ukraine
62,Sub-Saharan Africa,Uganda
63,Sub-Saharan Africa,Ghana
64,Sub-Saharan Africa,Namibia
65,Sub-Saharan Africa,Republic of the Congo
66,Europe,Netherlands
67,Australia and Oceania,Australia
68,Europe,Montenegro
69,Middle East and North Africa,Iraq
70,Sub-Saharan Africa,Cote d'Ivoire
71,North America,Mexico
72,Europe,Slovakia
73,Middle East and North Africa,Afghanistan
74,Asia,Indonesia
75,Asia,Thailand
76,Sub-Saharan Africa,Mali
77,Middle East and North Africa,Lebanon
78,Asia,South Korea
79,Middle East and North Africa,United Arab Emirates
80,Europe,Georgia
81,Sub-Saharan Africa,Guinea-Bissau
82,Central America and the Caribbean,Saint Lucia
83,Sub-Saharan Africa,Lesotho
84,Sub-Saharan Africa,Mauritius 
85,Sub-Saharan Africa,Sudan
86,Asia,Japan
87,Europe,Estonia
88,Asia,Laos
89,Europe,Belgium
90,Asia,Bhutan
91,North America,United States of America
92,Europe,Sweden
93,Asia,Nepal
94,Sub-Saharan Africa,Senegal
95,Central America and the Caribbean,Dominican Republic
96,Sub-Saharan Africa,Ethiopia
97,Sub-Saharan Africa,Djibouti
98,Central America and the Caribbean,The Bahamas
99,Middle East and North Africa,Algeria
100,Central America and the Caribbean,Costa Rica
101,Asia,Maldives
102,Sub-Saharan Africa,Mauritania
103,Sub-Saharan Africa,Liberia
104,Australia and Oceania,East Timor
105,Asia,Uzbekistan
106,Sub-Saharan Africa,South Africa
107,Europe,Ireland
108,Asia,India
109,Sub-Saharan Africa,Swaziland
110,Europe,Slovenia
111,Asia,North Korea
112,Sub-Saharan Africa,Tanzania
113,Australia and Oceania,Papua New Guinea
114,Asia,Turkmenistan
115,Central America and the Caribbean,Grenada
116,Europe,Greece
117,Australia and Oceania,Kiribati
118,Middle East and North Africa,Iran
119,Sub-Saharan Africa,South Sudan
120,Sub-Saharan Africa,Guinea
121,Central America and the Caribbean,Trinidad and Tobago
